tier	scientific_name	common_name	group	risk	n_ra	reg_level	reg_n_juris	accession	assembly_level	assembly_name	total_length	refseq_category	transcriptome_count	nuccore_count
A	Polyodon spathula					Prohibited	1	GCF_017654505.1	Chromosome	ASM1765450v1	1542066908	reference genome		
A	Proterorhinus semilunaris	Western Tubenose Goby	Fishes	Invasive	4	Prohibited	6	GCA_021464625.1	Chromosome	fProSem1.pri.20201207	864621867	reference genome		
A	Rutilus rutilus	Roach	Fishes	High	6	Prohibited	4	GCA_951802725.1	Chromosome	fRutRut2.1	1100179043			
A	Sander lucioperca	Zander	Fishes	High	5	Prohibited	9	GCF_008315115.2	Chromosome	SLUC_FBN_1.2	901221791	reference genome		
A	Sander vitreus	Walleye	Fishes	High	1	Restricted	1	GCF_031162955.1	Chromosome	sanVit1	791702833	reference genome		
A	Silurus glanis	Wels catfish	Fishes	High	6	Prohibited	8	GCA_055474285.1	Chromosome	ASM5547428v1	808560677	reference genome		
A	Sphaerium corneum	European Fingernailclam	Mollusk-Bivalve		3	Prohibited	1	GCA_965230695.1	Chromosome	xbSphCorn4.1	3625506042	reference genome		
A	Styela clava		Tunicate		1	Restricted	1	GCF_964204865.1	Chromosome	kaStyClav1.hap1.2	376784849	reference genome		
A	Vimba vimba					Prohibited	1	GCA_022828995.1	Chromosome	ASM2282899v1	1054310786	reference genome		
B	Acipenser gueldenstaedtii	Russian Sturgeon	Fishes	High	1	Prohibited	1	GCA_024762115.1	Contig	AG_genome	2389722506	reference genome		
B	Alosa pseudoharengus	Alewife	Fishes	Invasive	7	Prohibited	5	GCF_046254945.1	Scaffold	YU_APseudo_1.1	1050053806	reference genome		
B	Carcinus maenas		Crustacean-Crab		1	Restricted	1	GCA_977014515.1	Scaffold	cmg06	1090745283	reference genome		
B	Clarias batrachus	Walking Catfish	Fishes	High	4	Prohibited	3	GCA_003987875.1	Scaffold	ASM398787v1	821750104	reference genome		
B	Corbicula fluminea	Asian Clam	Mollusk-Bivalve	Invasive	7	Prohibited	6	GCA_001632725.1	Contig	ASM163272v1	662517	reference genome		
B	Lepisosteus osseus					Prohibited	2	GCA_026401145.1	Scaffold	ASM2640114v1	930537206	reference genome		
B	Lepomis gibbosus					Prohibited	2	GCA_029875015.1	Scaffold	ASM2987501v1	773627628	reference genome		
B	Lethenteron camtschaticum					Prohibited	1	GCA_018977245.1	Scaffold	IMCB_Ljap_1.0	1074727531	reference genome		
B	Morone americana	White perch	Fishes	Invasive	8	Prohibited	8	GCA_965119265.1	Contig	M_amer_male.genomic	688633020	reference genome		
B	Morone saxatilis	Rockfish	Fishes	Moderate	4	Prohibited	2	GCF_004916995.1	Scaffold	NCSU_SB_2.0	598109547	reference genome		
B	Neogobius melanostomus	Round goby	Fishes	Invasive	10	Prohibited	12	GCA_007210695.1	Contig	RGoby_Basel_V2	1003738541	reference genome		
B	Pylodictis olivaris	Flathead catfish	Fishes	Invasive	4	Prohibited	2	GCA_028570965.1	Scaffold	ASM2857096v1	1424310885	reference genome		
B	Radix auricularia	European Ear Snail	Mollusk-Gastropoda	Moderate	4	Prohibited	1	GCA_002072015.1	Scaffold	ASM207201v1	909750324	reference genome		
B	Tinca tinca	Tench	Fishes	High	7	Prohibited	8	GCA_037022345.1	Contig	ASM3702234v1	669980980	reference genome		
C	Acipenser baerii	Siberian Sturgeon	Fishes	High	1	Prohibited	1						3	761
C	Acipenser stellatus	Stellate Sturgeon	Fishes	High	1	Prohibited	1						1	660
C	Potamopyrgus antipodarum	New Zealand mudsnail	Mollusk-Gastropoda	Invasive	8	Prohibited	9						2	
D	Acipenser brevirostrum					Prohibited	1							249
D	Acipenser nudiventris	Thorn Sturgeon	Fishes	Moderate	1	Prohibited	1							63
D	Alburnoides bipunctatus					Prohibited	1							265
D	Ameiurus catus	White Catfish	Fishes	High	1	Prohibited	1							86
D	Ameiurus natalis					Prohibited	2							179
D	Bithynia tentaculata	Faucet snail	Mollusk-Gastropoda	Invasive	6	Prohibited	4							76
D	Bythotrephes cederstroemi	Spiny Waterflea	Crustacean-Cladoceran	High	2	Prohibited	1							7
D	Cercopagis pengoi	Fishhook Water Flea	Crustacean-Cladoceran	Invasive	8	Prohibited	5							41
D	Erimyzon sucetta					Prohibited	1							134
D	Gasterosteus wheatlandi	Blackspotted Stickleback	Fishes	High	1	Prohibited	1							48
D	Gila atraria					Prohibited	1							45
D	Hemimysis anomala	Bloody Shrimp	Crustacean-Mysid	Invasive	8	Prohibited	4							21
D	Lepisosteus platostomus		Fishes		1	Prohibited	1							91
D	Lepomis cyanellus					Prohibited	1							294
D	Lepomis peltastes					Prohibited	1							46
D	Morone mississippiensis	Yellow Bass	Fishes		1	Prohibited	1							39
D	Noturus exilis					Prohibited	1							278
D	Noturus insignis	Margined Madtom	Fishes	Invasive	3	Prohibited	1							72
D	Noturus miurus					Prohibited	1							120
D	Noturus nocturnus					Prohibited	1							33
D	Noturus stigmosus					Prohibited	1							31
D	Orconectes rusticus	Rusty Crayfish	Crustacean-Crayfish	High	6	Prohibited	1							42
D	Phoxinus czekanowskii					Prohibited	1							29
D	Phoxinus perenurus					Prohibited	1							120
D	Pisidium amnicum	Greater European Peaclam	Mollusk-Bivalve	Moderate	3	Prohibited	1							52
D	Pisidium henslowanum	Henslow Peaclam	Mollusk-Bivalve		2	Prohibited	1							61
D	Rutilus frisii					Prohibited	1							74
D	Sander volgensis					Prohibited	1							16
D	Scaphirhynchus albus					Prohibited	1							76
D	Scaphirhynchus platorynchus					Prohibited	1							251
D	Scardinius erythropthalmus	Rudd	Fishes		1	Prohibited	2							52623
D	Tanichthys albonubes	White Cloud Mountain Minnow	Fishes		1	Prohibited	1							1915
E	Barbel barbus					Prohibited	1							
E	Dorosoma cepedianum	Gizzard shad	Fishes	Invasive	2	Prohibited	2							
E	Lepomis humilis	Orangespotted Sunfish	Fishes		3	Prohibited	1							
E	Lepomis megalotis					Prohibited	2							
E	Valvata piscinalis	European Stream Valvata	Mollusk-Gastropoda		4	Prohibited	2							
